curve_type,parameter_label,parameter_value,radius_km,gamma_core_incidences,edge_count,retained_fraction_of_temporal,spatially_unmeasured_edges_retained,core_zero_degree_count,core_min_degree,core_max_degree,cover_status,cover_mip_gap,query,unit,lower,upper,width,endpoint_pair_certification,diagnostic_lower_nonoptimal_incumbent,diagnostic_upper_nonoptimal_incumbent,lower_status,upper_status,lower_mip_gap,upper_mip_gap,max_replay_residual,edges_with_missing_query_values,query_missing_semantics,endpoint_source,claim
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.168685,19.816456666666667,19.647771666666667,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.44722222222222224,45.42333333333333,44.97611111111111,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,171,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,2 km,2.0,2.0,,11965,0.49291422921644557,11865,0,104,561,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.12395500000000001,19.816456666666667,19.69250166666667,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.4247222222222222,45.61472222222223,45.190000000000005,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,177,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
radius,4 km,4.0,4.0,,12137,0.5,11865,0,106,561,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
